comuna;codigo_comuna;dia_nacional;fecha;clave;casos_diarios;casos_acumulados;muertes;casos_activos;recuperados;recuperados_diarios;dia_comunal;fallecidos_diarios;on-off;max_dia;;
Aisen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Algarrobo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Alto_Hospicio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Ancud;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Andacollo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Angol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Antofagasta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Arauco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Arica;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Buin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Bulnes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cabildo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cabo_de_Hornos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cabrero;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Calama;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Calbuco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Caldera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Calera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;;
Calera_de_Tango;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Calle_Larga;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Carahue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cartagena;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Casablanca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Castro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Catemu;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cauquenes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cerrillos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cerro_Navia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chaiten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chanco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chiguayante;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chile_Chico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chillan;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chillan_Viejo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Chimbarongo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cholchol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cochamo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Codegua;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coelemu;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coihaique;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coihueco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coinco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Colbun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Colina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Collipulli;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Concepcion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Conchali;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Concon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Constitucion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Copiapo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coquimbo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Coronel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Corral;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Cunco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curacautin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curacavi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curanilahue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curarrehue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curepto;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Curico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Diego_de_Almagro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Donihue;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
El_Bosque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
El_Carmen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
El_Monte;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
El_Quisco;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
El_Tabo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Ercilla;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Estacion_Central;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Florida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Freire;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Freirina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Frutillar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Futrono;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Galvarino;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Gorbea;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
Graneros;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
